Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,room_type_reserved,lead_time,date,day,month,year,arrival_date,market_segment_type,avg_price_per_room,booking_status
INN00210,1,0,0,0,Meal Plan 1,Room_Type 1,4,27-02-2018,27,02,2018,2018/02/27,Complementary,0,Not_Canceled
INN00211,2,0,0,3,Meal Plan 1,Room_Type 1,6,22-09-2017,22,09,2017,2017/09/22,Online,106.07,Not_Canceled
INN00212,2,0,1,1,Meal Plan 1,Room_Type 1,32,18-07-2018,18,07,2018,2018/07/18,Offline,105,Not_Canceled
INN00213,2,0,0,1,Meal Plan 1,Room_Type 1,4,22-09-2017,22,09,2017,2017/09/22,Online,145,Not_Canceled
INN00214,3,0,2,1,Meal Plan 1,Room_Type 1,195,13-08-2018,13,08,2018,2018/08/13,Online,106.03,Canceled
INN00215,2,0,2,2,Meal Plan 1,Room_Type 1,119,13-08-2018,13,08,2018,2018/08/13,Online,114.3,Not_Canceled
INN00216,1,0,1,1,Not Selected,Room_Type 1,13,12/5/2018,12,05,2018,2018/05/12,Online,88,Not_Canceled
INN00217,2,0,0,2,Meal Plan 1,Room_Type 1,59,15-10-2017,15,10,2017,2017/10/15,Online,89.25,Not_Canceled
INN00218,2,1,2,5,Meal Plan 1,Room_Type 4,78,20-03-2018,20,03,2018,2018/03/20,Online,86.32,Not_Canceled
INN00219,2,0,0,3,Meal Plan 1,Room_Type 1,335,13-10-2018,13,10,2018,2018/10/13,Offline,90,Not_Canceled
INN00220,2,0,2,5,Meal Plan 1,Room_Type 1,103,22-08-2017,22,08,2017,2017/08/22,Online,55.96,Not_Canceled
INN00221,1,0,0,2,Not Selected,Room_Type 1,0,6/8/2018,6,08,2018,2018/08/06,Online,109,Not_Canceled
INN00222,2,0,0,1,Meal Plan 1,Room_Type 1,118,3/1/2018,3,01,2018,2018/01/03,Offline,86,Not_Canceled
INN00223,2,0,1,5,Meal Plan 1,Room_Type 1,56,9/5/2018,9,05,2018,2018/05/09,Online,118.95,Not_Canceled
INN00224,2,0,0,2,Meal Plan 1,Room_Type 1,107,6/10/2018,6,10,2018,2018/10/06,Offline,130,Not_Canceled
INN00225,2,0,1,3,Not Selected,Room_Type 1,70,14-04-2018,14,04,2018,2018/04/14,Online,90.56,Not_Canceled
INN00226,2,0,0,2,Meal Plan 1,Room_Type 1,76,4/1/2018,4,01,2018,2018/01/04,Online,87.3,Not_Canceled
INN00227,2,2,2,2,Meal Plan 1,Room_Type 6,144,27-05-2018,27,05,2018,2018/05/27,Online,177.65,Canceled
INN00228,1,2,2,2,Meal Plan 1,Room_Type 6,4,19-09-2017,19,09,2017,2017/09/19,Online,200.75,Not_Canceled
INN00229,2,1,0,2,Meal Plan 1,Room_Type 1,15,18-03-2018,18,03,2018,2018/03/18,Online,127,Not_Canceled
INN00230,1,0,1,2,Meal Plan 1,Room_Type 1,32,2/5/2018,2,05,2018,2018/05/02,Online,72.9,Canceled
INN00231,3,0,1,1,Meal Plan 1,Room_Type 4,49,5/7/2018,5,07,2018,2018/07/05,Online,159.3,Canceled
INN00232,2,1,1,3,Meal Plan 1,Room_Type 1,77,5/12/2018,5,12,2018,2018/12/05,Online,135.15,Not_Canceled
INN00233,1,0,0,2,Meal Plan 1,Room_Type 1,22,28-10-2018,28,10,2018,2018/10/28,Offline,90,Not_Canceled
INN00234,2,0,1,0,Not Selected,Room_Type 1,0,18-10-2017,18,10,2017,2017/10/18,Online,114,Not_Canceled
INN00235,2,1,0,1,Meal Plan 1,Room_Type 1,58,21-06-2018,21,06,2018,2018/06/21,Online,125.1,Not_Canceled
INN00236,2,0,2,6,Not Selected,Room_Type 1,4,14-08-2017,14,08,2017,2017/08/14,Online,95.13,Not_Canceled
INN00237,2,0,0,2,Meal Plan 1,Room_Type 5,117,29-04-2018,29,04,2018,2018/04/29,Online,105.84,Canceled
INN00238,2,0,1,3,Meal Plan 1,Room_Type 1,36,26-12-2018,26,12,2018,2018/12/26,Online,102,Canceled
INN00239,2,0,2,2,Not Selected,Room_Type 1,35,12/2/2018,12,02,2018,2018/02/12,Online,74.8,Not_Canceled
INN00240,2,0,1,0,Not Selected,Room_Type 1,31,24-04-2018,24,04,2018,2018/04/24,Online,94.5,Canceled
INN00241,2,0,2,4,Not Selected,Room_Type 1,79,16-06-2018,16,06,2018,2018/06/16,Online,120.6,Not_Canceled
INN00242,2,0,1,2,Meal Plan 1,Room_Type 1,1,10/9/2017,10,09,2017,2017/09/10,Online,139.33,Not_Canceled
INN00243,2,0,0,2,Meal Plan 1,Room_Type 1,21,9/3/2017,9,03,2017,2017/03/09,Online,105,Not_Canceled
INN00244,2,0,0,2,Not Selected,Room_Type 1,12,14-09-2018,14,09,2018,2018/09/14,Corporate,100,Not_Canceled
INN00245,2,0,1,0,Meal Plan 1,Room_Type 1,33,2/8/2018,2,08,2018,2018/08/02,Online,80.3,Not_Canceled
INN00246,1,0,0,2,Meal Plan 1,Room_Type 1,164,10/2/2017,10,02,2017,2017/02/10,Offline,100,Not_Canceled
INN00247,2,0,0,3,Meal Plan 1,Room_Type 1,78,24-03-2018,24,03,2018,2018/03/24,Online,105.3,Not_Canceled
INN00248,2,0,0,4,Meal Plan 1,Room_Type 4,18,31-05-2018,31,05,2018,2018/05/31,Online,112.8,Canceled
INN00249,2,0,1,2,Meal Plan 1,Room_Type 1,21,15-08-2018,15,08,2018,2018/08/15,Online,151,Canceled
INN00250,1,0,1,3,Meal Plan 1,Room_Type 1,0,11/9/2017,11,09,2017,2017/09/11,Online,91,Not_Canceled
INN00251,3,0,2,1,Meal Plan 1,Room_Type 4,152,13-08-2018,13,08,2018,2018/08/13,Online,146.7,Canceled
INN00252,2,0,2,3,Meal Plan 1,Room_Type 1,43,10/2/2017,10,02,2017,2017/02/10,Offline,58.4,Not_Canceled
INN00253,2,0,0,4,Not Selected,Room_Type 1,177,26-07-2018,26,07,2018,2018/07/26,Online,80.75,Canceled
INN00254,2,0,1,1,Not Selected,Room_Type 1,47,21-05-2018,21,05,2018,2018/05/21,Offline,76.5,Not_Canceled
INN00255,3,0,0,3,Meal Plan 1,Room_Type 4,57,9/7/2018,9,07,2018,2018/07/09,Online,140.13,Not_Canceled
INN00256,2,0,2,4,Not Selected,Room_Type 1,60,15-11-2017,15,11,2017,2017/11/15,Online,76,Not_Canceled
INN00257,2,0,0,1,Meal Plan 1,Room_Type 1,0,16-09-2017,16,09,2017,2017/09/16,Online,200,Not_Canceled
INN00258,2,0,0,2,Meal Plan 2,Room_Type 1,102,16-10-2017,16,10,2017,2017/10/16,Online,101.5,Canceled
INN00259,2,0,0,3,Not Selected,Room_Type 1,71,18-10-2018,18,10,2018,2018/10/18,Online,108,Not_Canceled
INN00260,3,0,2,3,Meal Plan 2,Room_Type 4,111,23-07-2018,23,07,2018,2018/07/23,Online,189,Not_Canceled
INN00261,3,0,1,1,Meal Plan 1,Room_Type 4,1,6/11/2018,6,11,2018,2018/11/06,Online,166,Not_Canceled
INN00262,2,0,1,1,Not Selected,Room_Type 1,4,16-01-2018,16,01,2018,2018/01/16,Online,67.5,Not_Canceled
INN00263,2,0,1,3,Meal Plan 1,Room_Type 4,25,14-09-2017,14,09,2017,2017/09/14,Online,78.54,Not_Canceled
INN00264,1,0,2,2,Meal Plan 1,Room_Type 1,209,11/6/2018,11,06,2018,2018/06/11,Online,152.1,Canceled
INN00265,1,0,2,1,Meal Plan 1,Room_Type 1,93,15-10-2018,15,10,2018,2018/10/15,Online,115,Canceled
INN00266,2,0,2,5,Not Selected,Room_Type 1,53,9/2/2017,9,02,2017,2017/02/09,Online,66.53,Not_Canceled
INN00267,1,0,0,2,Meal Plan 1,Room_Type 1,1,8/12/2017,8,12,2017,2017/12/08,Complementary,0,Not_Canceled
INN00268,1,0,2,1,Meal Plan 1,Room_Type 1,4,23-08-2017,23,08,2017,2017/08/23,Complementary,0,Not_Canceled
INN00269,2,0,0,3,Meal Plan 1,Room_Type 1,302,29-12-2018,29,12,2018,2018/12/29,Online,90.3,Canceled
INN00270,2,0,0,2,Meal Plan 1,Room_Type 1,122,15-04-2018,15,04,2018,2018/04/15,Offline,85,Not_Canceled
INN00271,1,0,0,1,Meal Plan 1,Room_Type 1,16,3/11/2018,3,11,2018,2018/11/03,Corporate,75,Not_Canceled
INN00272,2,0,2,4,Meal Plan 1,Room_Type 1,28,28-08-2018,28,08,2018,2018/08/28,Online,115.37,Canceled
INN00273,2,0,1,2,Meal Plan 2,Room_Type 1,161,25-03-2018,25,03,2018,2018/03/25,Online,130,Canceled
INN00274,3,0,0,2,Meal Plan 1,Room_Type 4,57,12/9/2018,12,09,2018,2018/09/12,Online,126,Not_Canceled
INN00275,2,0,1,0,Meal Plan 1,Room_Type 1,19,6/12/2018,6,12,2018,2018/12/06,Online,94.35,Not_Canceled
INN00276,3,0,2,4,Meal Plan 1,Room_Type 4,109,7/6/2018,7,06,2018,2018/06/07,Online,118.46,Not_Canceled
INN00277,1,0,0,2,Meal Plan 2,Room_Type 1,239,15-06-2018,15,06,2018,2018/06/15,Online,90.6,Canceled
INN00278,1,0,2,1,Meal Plan 1,Room_Type 1,33,3/5/2018,3,05,2018,2018/05/03,Online,82.9,Not_Canceled
INN00279,2,0,0,3,Meal Plan 1,Room_Type 1,11,18-08-2017,18,08,2017,2017/08/18,Online,95.33,Not_Canceled
INN00280,3,0,2,5,Meal Plan 1,Room_Type 4,40,21-04-2018,21,04,2018,2018/04/21,Online,135.64,Not_Canceled
INN00281,3,0,1,1,Meal Plan 1,Room_Type 4,45,18-06-2018,18,06,2018,2018/06/18,Offline,122.4,Not_Canceled
INN00282,2,0,1,3,Not Selected,Room_Type 1,41,5/9/2018,5,09,2018,2018/09/05,Online,116.1,Canceled
INN00283,2,0,0,4,Not Selected,Room_Type 1,167,28-06-2018,28,06,2018,2018/06/28,Online,62.18,Canceled
INN00284,2,0,0,4,Not Selected,Room_Type 1,62,3/9/2018,3,09,2018,2018/09/03,Online,63.75,Canceled
INN00285,1,0,1,4,Meal Plan 1,Room_Type 1,113,9/7/2018,9,07,2018,2018/07/09,Online,118.8,Canceled
INN00286,2,0,0,2,Not Selected,Room_Type 1,1,8/10/2018,8,10,2018,2018/10/08,Online,167,Not_Canceled
INN00287,2,2,2,2,Meal Plan 1,Room_Type 6,84,13-05-2018,13,05,2018,2018/05/13,Online,187.85,Not_Canceled
INN00288,0,2,2,2,Meal Plan 1,Room_Type 1,68,24-04-2018,24,04,2018,2018/04/24,Online,108.38,Canceled
INN00289,2,0,0,1,Meal Plan 1,Room_Type 2,9,9/7/2018,9,07,2018,2018/07/09,Complementary,0,Not_Canceled
INN00290,3,0,1,2,Meal Plan 1,Room_Type 1,245,28-10-2018,28,10,2018,2018/10/28,Online,128.7,Canceled
INN00291,2,0,1,3,Meal Plan 1,Room_Type 1,80,17-03-2018,17,03,2018,2018/03/17,Online,80.33,Not_Canceled
INN00292,2,0,1,1,Meal Plan 1,Room_Type 1,7,22-08-2018,22,08,2018,2018/08/22,Online,140,Canceled
INN00293,2,1,1,1,Meal Plan 1,Room_Type 1,128,8/8/2017,8,08,2017,2017/08/08,Online,76.5,Not_Canceled
INN00294,2,0,2,1,Meal Plan 1,Room_Type 1,100,5/1/2018,5,01,2018,2018/01/05,Online,105.3,Not_Canceled
INN00295,2,0,2,1,Meal Plan 1,Room_Type 1,118,4/3/2018,4,03,2018,2018/03/04,Online,87.3,Canceled
INN00296,1,0,0,3,Meal Plan 1,Room_Type 1,166,11/1/2018,11,01,2018,2018/01/11,Online,110,Canceled
INN00297,1,0,0,1,Meal Plan 2,Room_Type 1,41,9/4/2017,9,04,2017,2017/04/09,Offline,83,Not_Canceled
INN00298,2,0,2,2,Meal Plan 1,Room_Type 1,174,13-08-2018,13,08,2018,2018/08/13,Online,99.45,Not_Canceled
INN00299,2,1,2,1,Meal Plan 2,Room_Type 1,27,27-12-2017,27,12,2017,2017/12/27,Offline,104.5,Not_Canceled
INN00300,2,0,2,6,Meal Plan 1,Room_Type 1,2,16-11-2018,16,11,2018,2018/11/16,Online,92.54,Not_Canceled
INN00301,1,0,0,3,Meal Plan 1,Room_Type 1,37,13-10-2018,13,10,2018,2018/10/13,Offline,95,Not_Canceled
INN00302,1,0,0,2,Meal Plan 1,Room_Type 1,188,15-06-2018,15,06,2018,2018/06/15,Online,130,Canceled
INN00303,2,0,2,1,Meal Plan 1,Room_Type 1,68,1/2/2018,1,02,2018,2018/02/01,Offline,63,Not_Canceled
INN00304,2,0,1,2,Meal Plan 1,Room_Type 4,189,28-10-2018,28,10,2018,2018/10/28,Online,109.8,Canceled
INN00305,2,0,1,0,Meal Plan 1,Room_Type 1,10,16-05-2018,16,05,2018,2018/05/16,Online,103,Not_Canceled
INN00306,3,0,2,1,Meal Plan 1,Room_Type 4,19,20-02-2018,20,02,2018,2018/02/20,Online,130,Not_Canceled
INN00307,2,0,0,2,Meal Plan 1,Room_Type 1,61,23-03-2018,23,03,2018,2018/03/23,Online,117,Canceled
INN00308,2,0,0,4,Meal Plan 1,Room_Type 4,95,29-12-2017,29,12,2017,2017/12/29,Offline,60.5,Not_Canceled
INN00309,2,0,0,1,Meal Plan 2,Room_Type 1,83,30-09-2017,30,09,2017,2017/09/30,Offline,112.2,Not_Canceled
INN00310,2,0,1,3,Meal Plan 1,Room_Type 1,37,8/1/2018,8,01,2018,2018/01/08,Online,135.9,Canceled
INN00311,2,0,1,0,Meal Plan 1,Room_Type 1,19,25-07-2018,25,07,2018,2018/07/25,Online,151,Canceled
INN00312,2,2,0,2,Meal Plan 1,Room_Type 6,22,16-09-2018,16,09,2018,2018/09/16,Online,239,Not_Canceled
INN00313,2,0,2,1,Meal Plan 1,Room_Type 1,22,26-12-2017,26,12,2017,2017/12/26,Online,59.09,Not_Canceled
INN00314,2,0,2,5,Meal Plan 1,Room_Type 1,151,7/9/2018,7,09,2018,2018/09/07,Online,103.09,Canceled
INN00315,2,0,2,1,Meal Plan 1,Room_Type 1,26,28-02-2018,28,02,2018,2018/02/28,Offline,87,Not_Canceled
INN00316,3,0,1,0,Meal Plan 1,Room_Type 4,27,17-04-2018,17,04,2018,2018/04/17,Online,137,Canceled
INN00317,2,0,0,2,Meal Plan 2,Room_Type 1,79,24-06-2018,24,06,2018,2018/06/24,Offline,109,Not_Canceled
INN00318,2,0,1,1,Meal Plan 2,Room_Type 1,247,6/6/2018,6,06,2018,2018/06/06,Online,115,Canceled
INN00319,2,0,2,3,Meal Plan 1,Room_Type 4,189,17-07-2018,17,07,2018,2018/07/17,Online,99.45,Not_Canceled
INN00320,2,0,0,2,Meal Plan 2,Room_Type 1,320,18-08-2018,18,08,2018,2018/08/18,Online,115,Canceled
INN00321,3,0,1,2,Meal Plan 1,Room_Type 4,27,22-02-2018,22,02,2018,2018/02/22,Online,130,Not_Canceled
INN00322,1,0,1,0,Meal Plan 1,Room_Type 1,51,22-05-2018,22,05,2018,2018/05/22,Corporate,65,Not_Canceled
INN00323,2,0,0,2,Meal Plan 1,Room_Type 1,245,17-06-2018,17,06,2018,2018/06/17,Online,75,Canceled
INN00324,2,1,1,2,Meal Plan 1,Room_Type 1,52,7/8/2018,7,08,2018,2018/08/07,Online,132.9,Canceled
INN00325,1,0,2,0,Meal Plan 1,Room_Type 1,13,18-10-2017,18,10,2017,2017/10/18,Online,120,Not_Canceled
INN00326,2,0,0,2,Not Selected,Room_Type 1,46,11/11/2018,11,11,2018,2018/11/11,Online,79.2,Canceled
INN00327,3,0,2,1,Meal Plan 1,Room_Type 4,84,28-08-2018,28,08,2018,2018/08/28,Online,159.3,Canceled
INN00328,1,0,0,2,Meal Plan 1,Room_Type 1,188,15-06-2018,15,06,2018,2018/06/15,Online,130,Canceled
INN00329,2,0,0,3,Meal Plan 1,Room_Type 1,19,10/6/2017,10,06,2017,2017/06/10,Offline,90,Not_Canceled
INN00330,2,0,0,2,Meal Plan 1,Room_Type 4,67,27-05-2018,27,05,2018,2018/05/27,Online,140.4,Not_Canceled
INN00331,2,0,0,1,Meal Plan 1,Room_Type 1,0,8/11/2017,8,11,2017,2017/11/08,Online,75,Not_Canceled
INN00332,2,0,0,2,Meal Plan 2,Room_Type 1,273,17-07-2017,17,07,2017,2017/07/17,Online,109,Canceled
INN00333,2,0,2,1,Meal Plan 2,Room_Type 1,110,25-07-2017,25,07,2017,2017/07/25,Online,94.5,Canceled
INN00334,1,0,0,1,Meal Plan 1,Room_Type 1,0,15-12-2017,15,12,2017,2017/12/15,Corporate,75,Not_Canceled
INN00335,2,0,1,2,Meal Plan 1,Room_Type 4,32,23-10-2017,23,10,2017,2017/10/23,Offline,75,Not_Canceled
INN00336,2,0,2,1,Meal Plan 1,Room_Type 1,282,10/10/2017,10,10,2017,2017/10/10,Offline,76.67,Not_Canceled
INN00337,2,0,2,2,Meal Plan 1,Room_Type 1,38,10/2/2018,10,02,2018,2018/02/10,Online,126,Not_Canceled
INN00338,2,0,1,1,Not Selected,Room_Type 1,175,23-07-2018,23,07,2018,2018/07/23,Online,85.5,Not_Canceled
INN00339,2,0,0,3,Meal Plan 1,Room_Type 4,143,18-08-2018,18,08,2018,2018/08/18,Online,140.7,Canceled
INN00340,2,0,2,2,Meal Plan 1,Room_Type 4,127,26-06-2018,26,06,2018,2018/06/26,Online,103.7,Not_Canceled
INN00341,1,0,0,1,Meal Plan 1,Room_Type 1,0,9/8/2017,9,08,2017,2017/08/09,Online,142,Not_Canceled
INN00342,2,1,2,5,Meal Plan 1,Room_Type 1,95,21-12-2018,21,12,2018,2018/12/21,Online,103.7,Not_Canceled
INN00343,1,0,1,2,Meal Plan 1,Room_Type 1,118,6/6/2018,6,06,2018,2018/06/06,Offline,110,Not_Canceled
INN00344,2,0,0,3,Meal Plan 1,Room_Type 1,45,11/10/2018,11,10,2018,2018/10/11,Offline,75,Not_Canceled
INN00345,3,0,1,1,Meal Plan 1,Room_Type 4,69,25-07-2018,25,07,2018,2018/07/25,Online,137.7,Not_Canceled
INN00346,2,0,0,1,Not Selected,Room_Type 1,57,9/7/2018,9,07,2018,2018/07/09,Online,87.3,Not_Canceled
INN00347,1,0,0,2,Meal Plan 1,Room_Type 1,5,24-08-2018,24,08,2018,2018/08/24,Complementary,0,Not_Canceled
INN00348,2,0,0,2,Meal Plan 2,Room_Type 1,39,14-08-2017,14,08,2017,2017/08/14,Offline,101.5,Not_Canceled
INN00349,2,0,0,1,Meal Plan 1,Room_Type 1,0,24-02-2018,24,02,2018,2018/02/24,Online,97,Not_Canceled
INN00350,3,0,1,1,Meal Plan 1,Room_Type 4,89,15-08-2018,15,08,2018,2018/08/15,Online,150.3,Not_Canceled
INN00351,2,0,0,4,Meal Plan 1,Room_Type 1,85,29-03-2018,29,03,2018,2018/03/29,Online,82.45,Not_Canceled
INN00352,1,0,0,1,Meal Plan 1,Room_Type 4,4,7/1/2018,7,01,2018,2018/01/07,Corporate,103,Not_Canceled
INN00353,1,0,2,6,Meal Plan 1,Room_Type 1,11,7/5/2018,7,05,2018,2018/05/07,Online,145,Canceled
INN00354,1,0,1,1,Meal Plan 1,Room_Type 1,12,7/11/2018,7,11,2018,2018/11/07,Online,145,Not_Canceled
INN00355,2,0,2,2,Meal Plan 1,Room_Type 4,77,14-05-2018,14,05,2018,2018/05/14,Online,134.85,Not_Canceled
INN00356,2,1,1,1,Meal Plan 1,Room_Type 6,14,22-10-2018,22,10,2018,2018/10/22,Online,168.25,Not_Canceled
INN00357,1,0,2,1,Meal Plan 1,Room_Type 1,1,28-02-2018,28,02,2018,2018/02/28,Online,60,Canceled
INN00358,2,0,1,3,Meal Plan 1,Room_Type 1,133,13-06-2018,13,06,2018,2018/06/13,Offline,76,Not_Canceled
INN00359,2,0,1,2,Meal Plan 1,Room_Type 1,3,8/10/2017,8,10,2017,2017/10/08,Offline,63.5,Not_Canceled
INN00360,2,0,2,0,Meal Plan 1,Room_Type 1,19,18-09-2018,18,09,2018,2018/09/18,Offline,95,Not_Canceled
INN00361,2,0,2,2,Meal Plan 1,Room_Type 4,86,9/3/2018,9,03,2018,2018/03/09,Offline,90.95,Not_Canceled
INN00362,2,0,0,2,Meal Plan 1,Room_Type 1,23,16-10-2017,16,10,2017,2017/10/16,Online,98.4,Not_Canceled
INN00363,2,0,0,1,Meal Plan 1,Room_Type 1,65,22-09-2018,22,09,2018,2018/09/22,Online,135.9,Not_Canceled
INN00364,2,0,0,2,Meal Plan 1,Room_Type 4,1,16-11-2018,16,11,2018,2018/11/16,Online,130,Not_Canceled
INN00365,2,0,0,1,Meal Plan 1,Room_Type 4,66,19-11-2017,19,11,2017,2017/11/19,Online,81.9,Not_Canceled
INN00366,3,0,1,4,Meal Plan 1,Room_Type 1,50,22-02-2018,22,02,2018,2018/02/22,Online,78.85,Not_Canceled
INN00367,2,0,2,3,Meal Plan 2,Room_Type 1,87,26-06-2018,26,06,2018,2018/06/26,Online,141.3,Canceled
INN00368,2,0,1,1,Meal Plan 1,Room_Type 1,159,4/9/2018,4,09,2018,2018/09/04,Offline,70,Not_Canceled
INN00369,2,0,2,3,Meal Plan 2,Room_Type 1,39,13-08-2018,13,08,2018,2018/08/13,Online,170.1,Not_Canceled
INN00370,2,0,2,0,Meal Plan 2,Room_Type 1,386,23-10-2018,23,10,2018,2018/10/23,Online,115,Canceled
INN00371,2,2,0,5,Meal Plan 1,Room_Type 6,22,29-12-2017,29,12,2017,2017/12/29,Online,199,Not_Canceled
INN00372,2,0,2,2,Meal Plan 1,Room_Type 4,102,7/10/2018,7,10,2018,2018/10/07,Offline,82.45,Not_Canceled
INN00373,4,0,0,3,Meal Plan 1,Room_Type 7,86,20-10-2018,20,10,2018,2018/10/20,Online,192.86,Not_Canceled
INN00374,2,0,2,2,Meal Plan 1,Room_Type 1,56,25-09-2017,25,09,2017,2017/09/25,Offline,185,Not_Canceled
INN00375,2,0,2,6,Meal Plan 1,Room_Type 1,36,12/10/2018,12,10,2018,2018/10/12,Online,68.07,Not_Canceled
INN00376,2,0,0,3,Meal Plan 1,Room_Type 1,50,10/4/2018,10,04,2018,2018/04/10,Online,118.8,Not_Canceled
INN00377,2,0,0,2,Meal Plan 1,Room_Type 4,115,27-10-2018,27,10,2018,2018/10/27,Online,104.4,Canceled
INN00378,1,0,0,1,Meal Plan 1,Room_Type 1,0,23-03-2018,23,03,2018,2018/03/23,Corporate,65,Not_Canceled
INN00379,2,0,1,3,Not Selected,Room_Type 1,35,3/3/2018,3,03,2018,2018/03/03,Online,71.1,Canceled
INN00380,2,0,2,1,Meal Plan 1,Room_Type 1,17,21-05-2018,21,05,2018,2018/05/21,Offline,95,Not_Canceled
INN00381,2,0,4,11,Meal Plan 1,Room_Type 4,237,13-09-2018,13,09,2018,2018/09/13,Online,116.62,Canceled
INN00382,2,0,0,4,Meal Plan 1,Room_Type 1,125,9/7/2018,9,07,2018,2018/07/09,Online,136,Not_Canceled
INN00383,2,2,2,2,Meal Plan 1,Room_Type 6,32,12/2/2018,12,02,2018,2018/02/12,Online,147.9,Canceled
INN00384,2,0,2,0,Not Selected,Room_Type 1,5,18-09-2018,18,09,2018,2018/09/18,Offline,123.7,Not_Canceled
INN00385,2,0,2,1,Meal Plan 1,Room_Type 1,91,19-06-2018,19,06,2018,2018/06/19,Online,135.9,Canceled
INN00386,2,0,0,2,Meal Plan 2,Room_Type 1,102,16-10-2017,16,10,2017,2017/10/16,Offline,109,Not_Canceled
INN00387,3,0,2,1,Meal Plan 1,Room_Type 4,9,20-03-2018,20,03,2018,2018/03/20,Online,186,Not_Canceled
INN00388,3,0,1,3,Meal Plan 1,Room_Type 4,155,26-12-2018,26,12,2018,2018/12/26,Online,115.6,Canceled
INN00389,2,2,0,1,Meal Plan 1,Room_Type 6,0,14-05-2018,14,05,2018,2018/05/14,Online,221,Canceled
INN00390,1,0,0,3,Meal Plan 1,Room_Type 1,11,15-09-2017,15,09,2017,2017/09/15,Corporate,65,Not_Canceled
INN00391,1,0,0,1,Meal Plan 1,Room_Type 1,0,19-02-2018,19,02,2018,2018/02/19,Corporate,80,Not_Canceled
INN00392,2,1,1,4,Meal Plan 1,Room_Type 1,86,23-03-2018,23,03,2018,2018/03/23,Offline,73.83,Not_Canceled
INN00393,1,0,0,1,Meal Plan 1,Room_Type 1,18,18-10-2018,18,10,2018,2018/10/18,Corporate,67,Not_Canceled
INN00394,2,0,0,2,Meal Plan 1,Room_Type 1,58,3/4/2018,3,04,2018,2018/04/03,Online,80.3,Not_Canceled
INN00395,2,0,2,1,Not Selected,Room_Type 1,54,30-04-2018,30,04,2018,2018/04/30,Offline,85,Not_Canceled
INN00396,2,1,2,3,Meal Plan 1,Room_Type 1,25,23-07-2018,23,07,2018,2018/07/23,Online,152.1,Canceled
INN00397,2,0,0,2,Meal Plan 1,Room_Type 1,107,9/9/2017,9,09,2017,2017/09/09,Online,89.25,Not_Canceled
INN00398,1,0,0,4,Meal Plan 2,Room_Type 1,100,28-09-2018,28,09,2018,2018/09/28,Offline,110,Not_Canceled
INN00399,2,0,1,2,Meal Plan 1,Room_Type 1,273,13-05-2018,13,05,2018,2018/05/13,Online,95,Canceled
INN00400,2,0,0,1,Not Selected,Room_Type 1,29,18-03-2018,18,03,2018,2018/03/18,Online,79,Not_Canceled
INN00401,2,0,0,1,Meal Plan 1,Room_Type 1,221,8/12/2018,8,12,2018,2018/12/08,Online,80,Canceled
INN00402,2,0,2,2,Meal Plan 1,Room_Type 1,213,10/1/2018,10,01,2018,2018/01/10,Online,102.85,Canceled
INN00403,2,0,1,2,Meal Plan 1,Room_Type 1,198,9/9/2018,9,09,2018,2018/09/09,Online,90,Canceled
INN00404,2,0,1,2,Meal Plan 1,Room_Type 2,81,29-01-2018,29,01,2018,2018/01/29,Online,62.37,Not_Canceled
INN00405,2,0,0,1,Not Selected,Room_Type 1,23,4/8/2018,4,08,2018,2018/08/04,Online,98,Not_Canceled
INN00406,2,0,0,3,Meal Plan 1,Room_Type 1,26,17-09-2017,17,09,2017,2017/09/17,Online,117.67,Canceled
INN00407,2,0,2,1,Meal Plan 1,Room_Type 1,20,18-06-2018,18,06,2018,2018/06/18,Online,141,Not_Canceled
INN00408,2,1,1,3,Meal Plan 1,Room_Type 6,124,26-12-2018,26,12,2018,2018/12/26,Online,156.61,Canceled
INN00409,3,0,0,3,Meal Plan 1,Room_Type 4,85,8/3/2018,8,03,2018,2018/03/08,Online,152.1,Canceled
INN00410,2,0,0,1,Meal Plan 1,Room_Type 1,167,8/6/2018,8,06,2018,2018/06/08,Online,105.3,Canceled
INN00411,2,0,1,3,Meal Plan 1,Room_Type 1,71,30-05-2018,30,05,2018,2018/05/30,Online,119.85,Not_Canceled
INN00412,2,0,0,2,Meal Plan 1,Room_Type 1,48,11/4/2018,11,04,2018,2018/04/11,Online,97.2,Not_Canceled
INN00413,1,0,0,1,Not Selected,Room_Type 1,37,13-05-2018,13,05,2018,2018/05/13,Online,116.1,Not_Canceled
INN00414,3,0,2,2,Meal Plan 1,Room_Type 4,76,29-05-2018,29,05,2018,2018/05/29,Online,150.45,Canceled
INN00415,1,0,0,1,Meal Plan 1,Room_Type 1,13,20-01-2018,20,01,2018,2018/01/20,Offline,71,Not_Canceled
INN00416,1,0,1,0,Meal Plan 1,Room_Type 1,3,27-06-2018,27,06,2018,2018/06/27,Complementary,0,Not_Canceled
INN00417,2,0,1,2,Meal Plan 1,Room_Type 4,75,12/7/2017,12,07,2017,2017/07/12,Offline,60,Not_Canceled
INN00418,1,0,0,1,Meal Plan 1,Room_Type 1,5,4/5/2018,4,05,2018,2018/05/04,Corporate,89,Not_Canceled
INN00419,2,0,2,0,Meal Plan 2,Room_Type 1,386,23-10-2018,23,10,2018,2018/10/23,Online,115,Canceled
